iter;num;solve;time
0;0;True;0.0078393;
1;0;True;0.0077101999999999934;
2;0;True;0.007756800000000001;
3;0;True;0.0078089000000000006;
4;0;True;0.007752300000000004;
5;0;True;0.007721500000000006;
6;0;True;0.007724300000000003;
7;0;True;0.007742200000000005;
8;0;True;0.007739200000000002;
9;0;True;0.0077494999999999925;
0;1;True;0.0139151;
1;1;True;0.014071900000000012;
2;1;True;0.014036300000000002;
3;1;True;0.013994299999999987;
4;1;True;0.013891699999999979;
5;1;True;0.01384379999999999;
6;1;True;0.014039699999999988;
7;1;True;0.014056800000000008;
8;1;True;0.014474500000000001;
9;1;True;0.013913800000000004;
0;2;True;0.02462870000000003;
1;2;True;0.02452920000000003;
2;2;True;0.024599000000000038;
3;2;True;0.024557300000000004;
4;2;True;0.024895;
5;2;True;0.02469389999999999;
6;2;True;0.024630700000000005;
7;2;True;0.02457300000000001;
8;2;True;0.024582999999999966;
9;2;True;0.024578199999999994;
0;3;True;0.014262099999999944;
1;3;True;0.014218999999999982;
2;3;True;0.014181299999999952;
3;3;True;0.014202999999999966;
4;3;True;0.014195699999999922;
5;3;True;0.014800299999999988;
6;3;True;0.014298199999999928;
7;3;True;0.014231699999999958;
8;3;True;0.01426140000000009;
9;3;True;0.014268300000000012;
0;4;True;0.0033346000000000764;
1;4;True;0.003307799999999972;
2;4;True;0.0033706999999999487;
3;4;True;0.0033374999999999932;
4;4;True;0.0033088000000000006;
5;4;True;0.003373399999999971;
6;4;True;0.0033254999999999812;
7;4;True;0.003310200000000041;
8;4;True;0.0033443000000000778;
9;4;True;0.003355300000000061;
0;5;True;0.15259250000000002;
1;5;True;0.2052006999999999;
2;5;True;0.14927559999999995;
3;5;True;0.19366299999999992;
4;5;True;0.1604471999999999;
5;5;True;0.16038069999999993;
6;5;True;0.11874589999999996;
7;5;True;0.3235142;
8;5;True;0.10767650000000017;
9;5;True;0.15074919999999992;
0;6;True;0.07896599999999987;
1;6;True;0.07469150000000013;
2;6;True;0.0866473000000001;
3;6;True;0.12520249999999988;
4;6;True;0.15071289999999982;
5;6;True;0.0845028000000001;
6;6;True;0.07350560000000028;
7;6;True;0.06394560000000027;
8;6;True;0.1387978999999997;
9;6;True;0.07904579999999983;
0;7;True;0.004684199999999805;
1;7;True;0.004635700000000131;
2;7;True;0.004660600000000237;
3;7;True;0.004731699999999783;
4;7;True;0.004672600000000138;
5;7;True;0.004655900000000379;
6;7;True;0.0046928000000003856;
7;7;True;0.00465979999999977;
8;7;True;0.004686700000000155;
9;7;True;0.0053450999999999915;
0;8;True;0.02968280000000023;
1;8;True;0.029700599999999966;
2;8;True;0.029777800000000187;
3;8;True;0.029811099999999868;
4;8;True;0.02961210000000003;
5;8;True;0.029852700000000176;
6;8;True;0.029619900000000143;
7;8;True;0.029819800000000285;
8;8;True;0.030527299999999702;
9;8;True;0.02997760000000005;
0;9;True;0.2756803999999997;
1;9;True;0.09731520000000016;
2;9;True;0.0744378999999995;
3;9;True;0.05661069999999935;
4;9;True;0.0493857000000002;
